Year,Tonality,MIC,Pitch STD,MIS,Onset Density,nPVI,RIC
1950,0.6847310523082012,3.8957527800000005,4.134101135551537,2.176324623776508,2.304880374282201,50.36983981542175,2.155790862666667
1951,0.7429781608317548,4.5788393727272725,3.5608361802057336,2.452796529103149,1.7729780670190278,55.94729940374539,2.2144178272727273
1952,0.7363762275316704,4.739933941666667,3.706493458878174,2.8530894413318304,1.3728362607384879,56.14991121918255,2.2818994999999997
1953,0.7637162775258155,4.9497544,3.522756745367381,2.5711352278079636,1.3025171290729582,60.27655368577781,2.5144379000000003
1954,0.7336288389328691,4.183912415384616,2.83796511934528,2.0626508175238203,1.8518084818921827,59.764858200102374,2.7973799153846155
1955,0.7563541946403609,4.01136165,3.753872657029558,2.773780294822425,1.9485495787754765,47.917673481687686,1.761989051
1956,0.7407968978716419,4.380319863636364,3.538483991634432,2.3403356771588935,1.5828400786376804,53.603298191267136,2.977257372727273
1957,0.7510610866033164,4.090430875,3.944126091457308,2.304017573739347,1.6117010479844345,61.281611080234974,2.821187783333333
1958,0.696666634912632,3.9338219315789473,2.9783050736479284,2.0764420602419094,2.24515963511671,39.3572716969019,2.536325594736842
1959,0.6779339392172983,4.185755915384616,2.855738902889173,1.991319340667136,2.0303803696430873,42.44934240379369,2.6853443023076924
1960,0.8046522073505853,3.680479153846154,3.320551160880025,2.4432422702637413,1.6108497009862104,62.66547727803049,2.4306465999999998
1961,0.746797431015532,4.252575318181818,3.449983895587486,2.2353859870308757,1.6746491044015137,56.60302577858815,2.654179936363636
1962,0.744583075718387,4.8597088875,5.226448866360241,4.042512907717262,1.4390168071268359,54.20496402137601,3.0114332874999996
1963,0.7771700569258119,4.387560627272728,3.2595702767635286,2.2943523695323718,1.8626264274696063,44.53925685250179,2.3981566272727273
1964,0.7592092971656379,4.003203264285714,3.3847637251540097,1.8620192832118814,1.8825215341862236,46.53113982354897,2.490128742857143
1965,0.8009406234942132,4.173108072727273,2.909789866702501,2.0904867042757087,1.8382973675163647,35.81503447916497,2.553935036363636
1966,0.6656154034514231,3.293903961538461,2.2125944665791555,1.8274311446976108,2.1618919120928033,37.69651236651066,2.314768997692308
1967,0.7252144026397155,3.6271546090909097,2.929771668237043,2.0755397784895524,2.059121708062345,42.71183773367535,2.3122691545454543
1968,0.7430036856250134,4.047376725,2.8943863787133424,2.0389650659028122,1.794195153839748,54.770232013953546,2.6346988916666665
1969,0.7570691748549951,3.9542421875000002,3.619104131258356,2.2058548180893656,2.127959539737902,44.415270359092446,2.4990361999999995
1970,0.7854095676668692,3.9701616333333334,3.395621287226751,2.4115193443716305,1.7981043273035742,55.29805699088772,2.875376391666667
1971,0.7476759987045368,4.205590341176471,2.9055227380292834,2.2204649142422443,1.9538513207670831,46.60563508110099,2.5940272941176477
1972,0.7437867239484067,4.170393418181818,3.804462740831373,2.034434959447917,2.0346337097529026,65.48503287668345,2.611522863636364
1973,0.7491727668822022,4.472660816666667,3.606164696293056,2.5718460884080314,1.6999846345408824,53.83241294624644,2.7749312388888883
1974,0.7443258325597996,3.6627175375,3.19198119132896,2.1392101731071786,2.1163813234059106,41.87065247928931,2.1285690725
