Melody ID,Year,BPM,Tonic,Mode,Length (seconds),Length (notes),Onset Density,Contour Score,Tonality,Melody Range,nPVI,STM IC,Syncopation Score,Pitch STD
195001_1,1950,141,F,Major,19.574426,25,1.2771766589732951,2.1666666666666665,0.7694029279283955,9,71.54040404040406,4.2805996,2.9494202,2.6695317941541736
195001_2,1950,141,F,Major,19.574426,35,1.7880473225626132,2.0588235294117645,0.8218221621337913,12,43.32824038706392,4.8634963,2.270479,3.546311679846012
195002_1,1950,60,Db,Major,30.897916666666667,47,1.521138156563954,2.5,0.7912242393662198,17,14.202898550724637,5.4629307,1.0858065,4.104122407210038
195002_2,1950,60,Db,Major,46.89791666666667,63,1.3433432544089556,2.5,0.6789839044269897,17,30.537634408602138,4.455394,1.282656,4.127106225300066
195003_1,1950,120,G,Major,16.94928860625,36,2.123982949156056,0.9714285714285714,0.5547292374734583,4,82.04081632653063,2.8010824,2.0466106,1.2431913333666804
195003_2,1950,120,G,Major,16.48262240625,34,2.062778553193552,1.9393939393939397,0.4949349948625995,26,64.44875386051856,4.8318458,3.2097037,8.186462367223427
195003_3,1950,120,G,Major,30.48260840625,86,2.8212808711726582,0.9882352941176472,0.4910315230508159,28,69.89355742296908,3.1180222,1.9073014,5.890530575398786
195003_4,1950,120,G,Major,30.48260840625,63,2.0667522660915987,2.838709677419355,0.6370146800731298,17,82.47311827956987,2.3889654,1.5521188,5.01386337076816
195003_5,1950,120,G,Major,21.14928440625,108,5.106555755053539,2.878504672897196,0.8076423883966307,17,6.008010680907877,2.553029,0.5328743,4.312181281834914
195003_6,1950,120,G,Major,20.32428523125,54,2.6569200041028376,1.8867924528301887,0.7391780208182088,14,49.89517819706498,4.6819215,2.5503674,3.0533100615498565
195003_7,1950,120,G,Major,22.31594990625,90,4.032989873973225,2.449438202247191,0.7840390528039832,26,30.187265917603007,4.285175,1.5930231,7.636502657598318
195004_1,1950,118,F,Minor,48.13579885253906,87,1.807386645156112,1.9534883720930232,0.6418756484123207,15,73.30891330891336,3.072897,3.0911093,3.3028331120807635
195004_2,1950,118,F,Minor,15.762725,31,1.9666650277791435,2.066666666666667,0.6166528111930487,11,66.9997457411645,4.4265423,3.8498647,2.787290913190703
195005_1,1950,151,Bb,Major,23.760761985416668,33,1.3888443485210609,3.25,0.8316576578877909,13,38.33333333333333,4.3802447,2.8477387,3.8543262754532366
195005_2,1950,151,Bb,Major,23.760761985416668,62,2.609343927524417,2.19672131147541,0.6107765357956353,8,32.34972677595629,2.8341458,1.5627791,2.2839529782979247
