Year,Tonality,Pitch STD,MIS,Onset Density,nPVI,MIC,RIC
1950,0.6847310523082012,4.134101135551537,2.176324623776508,2.304880374282201,50.36983981542175,3.89575278,2.155790862666667
1951,0.742978160831755,3.5608361802057336,2.4527965291031495,1.7729780670190278,55.947299403745404,4.5788393727272725,2.2144178272727273
1952,0.7363762275316704,3.706493458878174,2.853089441331831,1.3728362607384879,56.14991121918254,4.739933941666667,2.2818995
1953,0.7637162775258154,3.522756745367381,2.571135227807964,1.3025171290729582,60.27655368577783,4.9497544,2.5144379
1954,0.7336288389328692,2.83796511934528,2.0626508175238203,1.8518084818921827,59.76485820010237,4.183912415384615,2.797379915384615
1955,0.7563541946403609,3.753872657029558,2.773780294822425,1.948549578775476,47.91767348168768,4.01136165,1.761989051
1956,0.7407968978716419,3.538483991634432,2.340335677158893,1.5828400786376804,53.603298191267136,4.380319863636363,2.977257372727273
1957,0.7510610866033164,3.9441260914573077,2.3040175737393467,1.6117010479844345,61.28161108023499,4.090430875,2.821187783333333
1958,0.6966666349126321,2.978305073647928,2.07644206024191,2.24515963511671,39.35727169690189,3.9338219315789473,2.536325594736842
1959,0.6779339392172983,2.855738902889173,1.991319340667136,2.0303803696430873,42.44934240379369,4.1857559153846156,2.6853443023076924
1960,0.8046522073505851,3.3205511608800244,2.4432422702637413,1.6108497009862104,62.66547727803049,3.680479153846154,2.4306466
1961,0.746797431015532,3.449983895587486,2.235385987030875,1.6746491044015137,56.60302577858815,4.252575318181818,2.6541799363636365
1962,0.744583075718387,5.226448866360241,4.042512907717262,1.4390168071268359,54.204964021376014,4.8597088875,3.0114332875
1963,0.7771700569258116,3.259570276763529,2.294352369532372,1.8626264274696067,44.53925685250179,4.387560627272728,2.3981566272727273
1964,0.759209297165638,3.3847637251540093,1.8620192832118811,1.8825215341862236,46.531139823548976,4.003203264285714,2.490128742857143
1965,0.8009406234942132,2.9097898667025004,2.090486704275709,1.838297367516365,35.81503447916497,4.173108072727273,2.553935036363636
1966,0.6656154034514233,2.2125944665791555,1.8274311446976113,2.1618919120928037,37.69651236651066,3.2939039615384615,2.314768997692308
1967,0.7252144026397155,2.929771668237043,2.075539778489553,2.0591217080623454,42.71183773367535,3.627154609090909,2.312269154545455
1968,0.7430036856250134,2.8943863787133424,2.0389650659028122,1.7941951538397483,54.770232013953546,4.047376725,2.6346988916666665
1969,0.7570691748549949,3.6191041312583563,2.2058548180893656,2.127959539737902,44.41527035909246,3.9542421875000002,2.4990362
1970,0.7854095676668692,3.395621287226751,2.4115193443716305,1.7981043273035746,55.29805699088774,3.9701616333333334,2.875376391666667
1971,0.7476759987045369,2.905522738029283,2.220464914242245,1.9538513207670831,46.605635081101006,4.20559034117647,2.594027294117647
1972,0.7437867239484066,3.804462740831374,2.034434959447917,2.0346337097529026,65.48503287668345,4.170393418181818,2.6115228636363637
1973,0.7491727668822022,3.606164696293056,2.571846088408032,1.6999846345408827,53.83241294624645,4.472660816666666,2.7749312388888887
1974,0.7443258325597993,3.19198119132896,2.1392101731071786,2.11638132340591,41.87065247928932,3.6627175375,2.1285690725
1975,0.7039677577843807,3.1734722113302447,2.17339544367398,1.8891494646340696,41.3365680665362,3.8724049571428574,2.4806863785714284
1976,0.7584211033520791,3.0728933469086774,2.4817662976113533,1.9458289546586627,39.23590920203023,3.4202412,2.3164978442105264
1977,0.7712383392968366,3.5511519572014065,2.1522005771482764,1.976540908704858,46.84768876846239,4.115210738888889,2.5941358
1978,0.7046101981823467,2.7403916529075536,1.6612043429555285,2.2130148100319733,49.674824427396345,3.3558739470588232,2.412624105882353
1979,0.7664689821516802,2.7119103142430605,2.3210529123597428,2.0725307423248216,35.12144162654065,3.3905834,2.60205854375
1980,0.771159724046327,3.2065839650234267,2.5140458963766625,1.697021694339037,47.14176934107338,3.9162613928571433,2.4756978785714283
1981,0.7800015510941573,2.9726551489342112,2.203256710487476,1.7566514505525925,51.84697255725481,3.9925677333333334,2.7665013466666664
1982,0.731282878654944,2.760754225197226,1.9277915869480096,2.5248843914520314,41.16884763502161,3.332558675,2.131510225
1983,0.7889424574694477,2.777602180743905,1.8507682157024263,2.261359508105261,49.02623640289293,3.774755491666667,2.360959633333333
1984,0.7220613363868332,2.7776293874911704,1.902029470647436,2.1478421145181574,33.933460395166385,3.6640448545454545,2.253152927272727
1985,0.7356532137301675,2.8923160139689013,2.2046832311273046,2.1086391254047308,47.32958968984603,3.7338634764705882,2.340938047058824
1986,0.7515498635448815,3.3297229646490445,2.5525909146562222,1.5181276135646076,53.32919587284911,4.20758064375,2.90159580625
1987,0.7194935586366095,2.4862243210939723,1.6746902627786715,2.2389847303835415,46.58377798864,3.26481186,2.251275753333333
1988,0.77049767665621,3.0465634636350782,2.2916665946567303,2.318386517478008,32.0661397601811,3.7318271470588233,2.3459793764705883
1989,0.7041977310579759,2.5621090897103134,1.7759153473273006,2.2449337388256043,44.29587445276077,3.248076969565217,2.2849331304347826
1990,0.7677507194755737,2.9573646412543733,2.1542636096760477,2.008846358110296,33.992831510520254,3.6920646266666663,2.3333488533333333
1991,0.7079947081254075,2.609434850945171,2.017084856612264,1.7895612781928507,38.38041715243801,4.017733389473684,2.5405088263157896
1992,0.7563588020155233,2.9760460513238307,2.220790143313997,2.027135752806984,31.873939185620987,3.49333628,2.08176385
1993,0.7437830243172558,3.017684991993474,2.376229853121974,1.4950762156053474,53.940738506050856,4.02399804,3.2954967699999997
1994,0.7556106710424603,3.067619777252286,2.1452771036800224,1.6859203621605996,56.87005909089743,4.05527853125,2.402957575
1995,0.765900438942284,3.2893221941917745,1.9057620497640904,2.1058130859697126,40.3827565387656,3.3556831866666665,1.9986348133333334
1996,0.7304248690870624,2.873526619683032,1.9486765201391145,2.327605536652487,38.02383428103039,3.53133533125,2.21209649375
1997,0.729245637202163,3.0625753857732207,1.8706627781859662,2.0773945078760234,52.987193947796996,3.9803229866666663,2.4720377933333335
1998,0.7461436866562792,3.083579333025293,2.286331108628777,2.1444882126762375,34.81710763111933,3.6006525333333332,1.96386354
1999,0.7531850806190925,2.970635962966563,1.81237681060967,2.289556169103626,35.62493635177405,3.421734133333333,2.0179686444444442
