melody.id melody.name mean.information.content
1 "1950_01_1" 2.9048014
2 "1950_01_2" 2.2929163
3 "1950_02_1" 1.0932418
4 "1950_02_2" 1.2757531
5 "1950_03_1" 2.2653196
6 "1950_03_2" 3.257142
7 "1950_03_3" 1.9085722
8 "1950_03_4" 1.5299145
9 "1950_03_5" 0.52957904
10 "1950_03_6" 2.596281
11 "1950_03_7" 1.6270647
12 "1950_04_1" 3.0425167
13 "1950_04_2" 3.7406766
14 "1950_05_1" 2.749298
15 "1950_05_2" 1.523786
16 "1951_01_1" 1.984421
17 "1951_01_2" 3.1324909
18 "1951_02_1" 2.8273284
19 "1951_02_2" 3.2347734
20 "1951_03_1" 1.8267856
21 "1951_03_2" 2.3256366
22 "1951_04_1" 1.2888752
23 "1951_04_2" 1.4970609
24 "1951_05_1" 2.823188
25 "1951_05_2" 1.5908344
26 "1951_05_3" 1.8272017
27 "1952_01_1" 0.8186846
28 "1952_01_2" 2.2276716
29 "1952_01_3" 2.440856
30 "1952_02_1" 2.1652627
31 "1952_02_2" 2.2088654
32 "1952_02_3" 1.6680954
33 "1952_03_1" 2.2339725
34 "1952_03_2" 1.7295995
35 "1952_04_1" 2.2427979
36 "1952_04_2" 6.143095
37 "1952_05_1" 2.093469
38 "1952_05_2" 1.4104244
39 "1953_01_1" 2.2583857
40 "1953_01_2" 1.6088231
41 "1953_01_3" 2.4471214
42 "1953_02_1" 2.3513565
43 "1953_02_2" 3.8585677
44 "1953_02_3" 2.0363908
45 "1953_03_1" 2.8873553
46 "1953_03_2" 2.3712225
47 "1953_04_1" 2.0795877
48 "1953_04_2" 2.0425572
49 "1953_04_3" 2.5679166
50 "1953_05_1" 2.370755
51 "1953_05_2" 3.8076532
52 "1954_01_1" 3.352913
53 "1954_01_2" 4.0919385
54 "1954_01_3" 3.7218254
55 "1954_02_1" 2.3905885
56 "1954_02_2" 2.8920963
57 "1954_03_1" 2.1278384
58 "1954_03_2" 2.3142934
59 "1954_03_3" 2.5298114
60 "1954_04_1" 2.620214
61 "1954_04_2" 3.022633
62 "1954_04_3" 1.3820916
63 "1954_05_1" 1.8158504
64 "1954_05_2" 4.103845
65 "1955_01_1" 2.3679454
66 "1955_01_2" 0.71957445
67 "1955_01_3" 1.0795978
68 "1955_01_4" 1.5667633
69 "1955_02_1" 1.4821583
70 "1955_03_1" 1.123103
71 "1955_04_1" 0.99699366
72 "1955_04_2" 3.1470332
73 "1955_05_1" 2.9028292
74 "1955_05_2" 2.2338922
75 "1956_01_1" 1.460361
76 "1956_02_1" 3.0017607
77 "1956_02_2" 4.7520237
78 "1956_02_3" 3.3831167
79 "1956_03_1" 2.365494
80 "1956_04_1" 2.4149468
81 "1956_04_2" 3.6613915
82 "1956_04_3" 3.8193324
83 "1956_04_4" 4.132921
84 "1956_05_1" 1.8713155
85 "1956_05_2" 1.8871678
86 "1957_01_1" 2.3474903
87 "1957_01_2" 2.2983475
88 "1957_02_1" 3.397739
89 "1957_02_2" 3.7593343
90 "1957_02_3" 2.864925
91 "1957_03_1" 2.7123091
92 "1957_04_1" 1.7235994
93 "1957_04_2" 3.9827216
94 "1957_05_1" 2.293395
95 "1957_05_2" 1.9644182
96 "1957_05_3" 2.5011983
97 "1957_05_4" 4.0087757
98 "1958_01_1" 1.5384673
99 "1958_01_2" 4.0345907
100 "1958_01_3" 2.5893734
101 "1958_02a_1" 1.826361
102 "1958_02a_2" 2.2188706
103 "1958_02b_1" 1.1220596
104 "1958_02b_2" 2.3834076
105 "1958_03a_1" 4.7994614
106 "1958_03a_2" 3.1633842
107 "1958_03a_3" 4.2709813
108 "1958_03a_4" 3.3995414
109 "1958_03b_1" 3.6472204
110 "1958_03b_2" 2.031307
111 "1958_03b_3" 2.7048461
112 "1958_04_1" 1.947775
113 "1958_04_2" 1.6847943
114 "1958_04_3" 1.4452941
115 "1958_05_1" 1.5206385
116 "1958_05_2" 1.8618124
117 "1959_01_1" 0.99586433
118 "1959_01_2" 1.2595719
119 "1959_02_1" 2.9634588
120 "1959_02_2" 2.8914075
121 "1959_02_3" 3.1024737
122 "1959_02_4" 3.108634
123 "1959_03_1" 2.4349506
124 "1959_03_2" 3.364394
125 "1959_03_3" 3.0004358
126 "1959_04_1" 1.9086759
127 "1959_04_2" 3.1865282
128 "1959_04_3" 4.4911532
129 "1959_05_1" 2.201928
130 "1960_01_1" 1.3751999
131 "1960_01_2" 2.2954376
132 "1960_01_3" 1.4625373
133 "1960_01_4" 1.2602314
134 "1960_01_5" 0.2834254
135 "1960_02_1" 4.3622727
136 "1960_02_2" 4.758401
137 "1960_03_1" 2.5441356
138 "1960_03_2" 1.6500837
139 "1960_04_1" 1.9042991
140 "1960_04_2" 3.4664114
141 "1960_05_1" 3.5878615
142 "1960_05_2" 2.6481092
143 "1961_01_1" 2.8444667
144 "1961_01_2" 1.8676901
145 "1961_02_1" 4.2208304
146 "1961_02_2" 2.856683
147 "1961_02_3" 2.8694093
148 "1961_03_1" 2.3623874
149 "1961_03_2" 1.9872724
150 "1961_04_1" 2.4549944
151 "1961_04_2" 2.5475826
152 "1961_05_1" 2.1613173
153 "1961_05_2" 3.0233457
154 "1962_01_1" 4.539029
155 "1962_01_2" 4.3571568
156 "1962_01_3" 4.0749536
157 "1962_01_4" 3.7418823
158 "1962_02_1" 2.6785328
